project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
ansible,full-open-source,executor,,,,,,0,
anta,full-open-source,observability,,,,,,0,
apache airflow,full-open-source,orchestration,,,,,,0,
atlantis,full-open-source,orchestration,,,,,,0,
avd,full-open-source,execution,,,,,,0,
awx,full-open-source,orchestration,,,,,,0,
backbox,enterprise,orchestration,,,,,,0,
batfish,full-open-source,observability,,,,,,0,
bbmp2kafka,full-open-source,collector,,,,,,0,
cisco modeling labs,commercial-only,lab,,,,,,0,
containerlab,full-open-source,lab,,,,,,0,
crosswork nso,commercial-with-trial,orchestration,,,,,,0,
dagster,full-open-source,orchestration,,,,,,0,
datadog,saas,observability,,,,,,0,
diffsync,full-open-source,sdk,,,,,,0,
digger,hybrid,orchestration,,,,,,0,
elastic stack (elk),hybrid,observability,,,,,,0,
enms,full-open-source,observability,,,,,,0,
eve-ng,freemium,lab,,,,,,0,
forward networks,enterprise,observability,,,,,,0,
gluware,enterprise,orchestration,,,,,,0,
gnmic,full-open-source,collector,,,,,,0,
gnmic,full-open-source,sdk,,,,,,0,
gns3,full-open-source,lab,,,,,,0,
gobmp,full-open-source,collector,,,,,,0,
gornir,full-open-source,sdk,,,,,,0,
grafana,hybrid,presentation,,,,,,0,
hierarchical configuration,full-open-source,sdk,,,,,,0,
ibm concert workflows (previously pliant),saas,orchestration,,,,,,0,
ibm sevone,enterprise,observability,,,,,,0,
icinga,full-open-source,observability,,,,,,0,
infrahub,full-open-source,intent,,,,,,0,
inmanta,hybrid,orchestration,,,,,,0,
ip fabric,enterprise,observability,,,,,,0,
itential,enterprise,orchestration,,,,,,0,
jagw,full-open-source,presentation,,,,,,0,
jalapeno,full-open-source,collector,,,,,,0,
jq,full-open-source,tool,,,,,,0,
junos snapshot administrator,full-open-source,collector,,,,,,0,
kentik,saas,observability,,,,,,0,
knocknoc,free-restrictive,orchestration,,,,,,0,
librenms,full-open-source,observability,,,,,,0,
mage.ai,full-open-source,orchestration,,,,,,0,
napalm (network automation and programmability abstraction layer with multivendor support),full-open-source,sdk,,,,,,0,
narrowin lightweight network explorer,enterprise,observability,,,,,,0,
narrowin lightweight network explorer,enterprise,observability,,,,,,0,
nautobot,full-open-source,intent,,,,,,0,
nautobot golden config,full-open-source,executor,,,,,,0,
ncclient,full-open-source,sdk,,,,,,0,
ncdiff,full-open-source,sdk,,,,,,0,
netbox community,full-open-source,intent,2024-05-14,2024-05-14,,,,0,
netbrain,enterprise,observability,,,,,,0,
netdisco,full-open-source,observability,,,,,,0,
netlab,full-open-source,lab,,,,,,0,
netmiko,full-open-source,sdk,,,,,,0,
netos,enterprise,presentation,,,,,,0,
netos fabric,enterprise,observability,,,,,,0,
netos netops,full-open-source,orchestration,,,,,,0,
netpicker,freemium,observability,,,,,,0,
netrasp,full-open-source,sdk,,,,,,0,
netutils,full-open-source,sdk,,,,,,0,
nokia event-driven automation (eda),enterprise,orchestration,,,,,,0,
norfab (network automation fabric),full-open-source,orchestration,,,,,,0,
nornir,full-open-source,sdk,,,,,,0,
nrx,full-open-source,lab,,,,,,0,
ntc templates,full-open-source,sdk,,,,,,0,
nuts,full-open-source,observability,,,,,,0,
observium,hybrid,observability,,,,,,0,
ondatra,full-open-source,observability,,,,,,0,
open terraforming framework (otf),full-open-source,orchestration,,,,,,0,
opentofu,full-open-source,executor,,,,,,0,
orb community,full-open-source,observability,,,,,,0,
peering manager,full-open-source,intent,,,,,,0,
prefect,hybrid,orchestration,,,,,,0,
prometheus,full-open-source,collector,,,,,,0,
proxylity udp gateway,saas,collector,,,,,,0,
pulumi,hybrid,executor,,,,,,0,
puppet enterprise,enterprise,executor,,,,,,0,
pyangbind,full-open-source,sdk,,,,,,0,
pyats,closed-core,observability,,,,,,0,
pydantify,full-open-source,sdk,,,,,,0,
pyeapi,full-open-source,sdk,,,,,,0,
pyez,full-open-source,sdk,,,,,,0,
pygnmi,full-open-source,sdk,,,,,,0,
pygohcl,full-open-source,sdk,,,,,,0,
pysros,full-open-source,sdk,,,,,,0,
rconfig,freemium,collector,,,,,,0,
red hat ansible automation platform,enterprise,orchestration,,,,,,0,
robot framework,full-open-source,observability,,,,,,0,
rundeck,hybrid,orchestration,,,,,,0,
salt,full-open-source,executor,,,,,,0,
scalr,freemium,orchestration,,,,,,0,
scrapli,full-open-source,sdk,,,,,,0,
scrapligo,full-open-source,sdk,,,,,,0,
semaphore ui,full-open-source,orchestration,,,,,,0,
serviceradar,full-open-source,observability,,,,,,0,
serviceradar,full-open-source,observability,,,,,,0,
slurpit,freemium,observability,,,,,,0,
spacelift,saas,orchestration,,,,,,0,
splunk,hybrid,observability,,,,,,0,
stackstorm,full-open-source,orchestration,,,,,,0,
suzieq,freemium,observability,,,,,,0,
telegraf,full-open-source,collector,,,,,,0,
temporal,hybrid,orchestration,,,,,,0,
terraform,hybrid,executor,,,,,,0,
terragrunt,full-open-source,orchestration,,,,,,0,
terrakube,full-open-source,orchestration,,,,,,0,
terramate,hybrid,orchestration,,,,,,0,
terrateam,hybrid,orchestration,,,,,,0,
tofupy,full-open-source,sdk,,,,,,0,
torero.dev,closed-core,executor,,,,,,0,
ttp,full-open-source,sdk,,,,,,0,
windmill,hybrid,orchestration,,,,,,0,
workflow orchestrator,full-open-source,orchestration,,,,,,0,
ygot,full-open-source,sdk,,,,,,0,
yq,full-open-source,tool,,,,,,0,
zabbix,full-open-source,observability,,,,,,0,
zpe systems,enterprise,orchestration,,,,,,0,
